Filename,Datetime (YYYYMMDDHHMMSS),Session,Minute,Category,Morph,,,,,,,,,
B012C0004_20210517115821_0018_t2.68.Still005.tif,20210517115821,4,18,A,12,,,,,,,,,
B012C0004_20210517115821_0018_t3.222.Still005.tif,20210517115821,4,18,A,undetermined,,,,,,,,,
B012C0004_20210517115821_0019_t1.18.Still005.tif,20210517115821,4,19,A,undetermined,,,,,,,,,
B012C0004_20210517115821_0020_t1.18.Still005.tif,20210517115821,4,20,A,undetermined,,,,,,,,,
B012C0004_20210517115821_0021_t1.237.Still005.tif,20210517115821,4,21,A,undetermined,,,,,,,,,
B012C0004_20210517115821_0022_t1.226.Still005.tif,20210517115821,4,22,A,6,,,,,,,,,
B012C0004_20210517115821_0022_t2.175.Still005.tif,20210517115821,4,22,A,undetermined,,,,,,,,,
B012C0004_20210517115821_0023_t1.219.Still005.tif,20210517115821,4,23,A,undetermined,,,,,,,,,
B012C0004_20210517115821_0023_t2.232.Still005.tif,20210517115821,4,23,A,undetermined,,,,,,,,,
B012C0004_20210517115821_0024_t1.231.Still005.tif,20210517115821,4,24,A,10,,,,,,,,,
B012C0004_20210517115821_0024_t2.95.Still005.tif,20210517115821,4,24,A,12,,,,,,,,,
B012C0004_20210517115821_0024_t3.129.Still005.tif,20210517115821,4,24,A,undetermined,,,,,,,,,
B012C0004_20210517115821_0025_t1.202.Still005.tif,20210517115821,4,25,A,undetermined,,,,,,,,,
B012C0004_20210517115821_0026_t1.135.Still005.tif,20210517115821,4,26,A,10,,,,,,,,,
B012C0004_20210517115821_0027_t1.175.Still005.tif,20210517115821,4,27,A,10,,,,,,,,,
B012C0004_20210517115821_0028_t1.68.Still005.tif,20210517115821,4,28,A,10,,,,,,,,,
B012C0004_20210517115821_0028_t2.66.Still005.tif,20210517115821,4,28,A,11,,,,,,,,,
B012C0004_20210517115821_0028_t3.185.Still005.tif,20210517115821,4,28,A,1,,,,,,,,,
B012C0004_20210517115821_0029_t1.258.Still005.tif,20210517115821,4,29,A,10,,,,,,,,,
B012C0004_20210517115821_0029_t2.169.Still005.tif,20210517115821,4,29,A,10,,,,,,,,,
B012C0004_20210517115821_0030_t2.67.Still005.tif,20210517115821,4,30,A,10,,,,,,,,,
B012C0005_20210517123211_0002_t1.521.Still005.tif,20210517123211,5,02,A,undetermined,,,,,,,,,
B012C0005_20210517123211_0004_t1.627.Still005.tif,20210517123211,5,04,A,5,,,,,,,,,
B012C0005_20210517123211_0004_t2.366.Still005.tif,20210517123211,5,04,A,7,,,,,,,,,
B012C0005_20210517123211_0004_t3.31.Still005.tif,20210517123211,5,04,A,undetermined,,,,,,,,,
B012C0005_20210517123211_0005_t1.78.Still005.tif,20210517123211,5,05,A,12,,,,,,,,,
B012C0005_20210517123211_0005_t2.234.Still005.tif,20210517123211,5,05,A,12,,,,,,,,,
B012C0005_20210517123211_0005_t3.125.Still005.tif,20210517123211,5,05,A,undetermined,,,,,,,,,
B012C0005_20210517123211_0005_t4.213.Still005.tif,20210517123211,5,05,A,10,,,,,,,,,
B012C0005_20210517123211_0007_t1.186.Still005.tif,20210517123211,5,07,A,9,,,,,,,,,
B012C0005_20210517123211_0007_t1.535.Still005.tif,20210517123211,5,07,A,10,,,,,,,,,
B012C0005_20210517123211_0007_t2.55.Still005.tif,20210517123211,5,07,A,10,,,,,,,,,
B012C0005_20210517123211_0007_t3.204.Still005.tif,20210517123211,5,07,A,7,,,,,,,,,
B015C0001_20210520102922_0015_t1.166.Still005.tif,20210520102922,1,15,A,15,,,,,,,,,
B015C0001_20210520102922_0016_t1.103.Still005.tif,20210520102922,1,16,A,12,,,,,,,,,
B015C0001_20210520102922_0016_t3.186.Still005.tif,20210520102922,1,16,A,8,,,,,,,,,
B015C0001_20210520102922_0016_t4.180.Still005.tif,20210520102922,1,16,A,16,,,,,,,,,
B015C0001_20210520102922_0021_t1.22.Still005.tif,20210520102922,1,21,A,12,,,,,,,,,
B015C0001_20210520102922_0021_t2.117.Still005.tif,20210520102922,1,21,A,9,,,,,,,,,
